Date, Open, High, Low, Close, Volume
3/20/2012,204.74,205,203.702,204.25,3695026
3/21/2012,204.32,205.77,204.3,204.69,3330241
3/22/2012,204,205.99,203.96,205.49,3308534
3/23/2012,205.89,205.96,204.56,205.48,3036189
3/26/2012,206.45,207.92,206.32,207.77,3418255
3/27/2012,208.46,208.66,207,207.18,2705065
3/28/2012,207.44,208.69,206.27,207.29,3265696
3/29/2012,206.09,208.5,206.02,208.27,3403665
3/30/2012,208.74,209.12,208.012,208.65,3217344
4/2/2012,208.96,209.69,208.09,209.47,3388035
4/3/2012,209.31,210.69,208.54,209.5,4091491
4/4/2012,206.22,206.9802,205.19,206.05,4404078
4/5/2012,205.15,205.68,204.46,205.47,3809119
4/9/2012,204.4,206.17,203.37,204.94,3326810
4/10/2012,204.94,205.74,202.17,202.33,4132997
4/11/2012,203.99,204.32,202.4593,202.58,3367363
4/12/2012,202.8,205.56,202.64,205.32,2929585
4/13/2012,204.32,204.6499,202.8,202.8,3768117
4/16/2012,204.74,205.97,202.72,202.72,3827191
4/17/2012,204.57,207.64,204.15,207.45,6073651
4/18/2012,202.43,204.07,200,200.13,10155310
4/19/2012,200.03,201.26,197.521,199.51,5763201
4/20/2012,199.83,200.12,199.09,199.6,4758663
4/23/2012,197.89,199.1,196.791,198.62,3618928
4/24/2012,199.06,202.48,198.87,200,5631646
4/25/2012,202.02,203.69,201.8,203.57,4003311
4/26/2012,203.4,206.21,203.4,205.58,3304328
4/27/2012,206.47,208.17,205.91,206.81,3414143
4/30/2012,206.71,207.96,206.32,207.08,2773199
5/1/2012,207.18,208.929,206.71,208,2715870
5/2/2012,206.97,208.27,206.91,208.06,2360257
5/3/2012,208.27,208.92,206.55,207.24,2826568
5/4/2012,206.47,207.11,204.4,204.99,4024251
5/7/2012,203.96,204.77,202.9,203.75,3375923
5/8/2012,202.44,203.06,199.718,201.48,3881592
5/9/2012,199.99,203,199.06,201.23,3743290
5/10/2012,201,203.25,200.02,200.6,3831076
5/11/2012,199.96,202.12,199.95,201.17,2391580
5/14/2012,199.92,200.71,198.56,199.44,3029639
5/15/2012,199.44,201.4679,198.76,199.04,2987339
5/16/2012,199.42,201.35,198.18,199.73,5001087
5/17/2012,199.67,200.79,197.64,197.89,5627456
5/18/2012,198.78,198.78,195.16,195.88,5737095
5/21/2012,195.98,197.93,194.63,197.76,3831863
5/22/2012,198.04,198.26,196.06,196.82,3567786
5/23/2012,195.53,196.49,193.2,196.12,4066664
5/24/2012,195.99,196.28,194,196.09,3569476
5/25/2012,195.11,196,194,194.3,2903063
5/29/2012,195.22,198.08,195.22,196.46,3618533
5/30/2012,194.8,195.47,193.77,194.53,3602417
5/31/2012,194.1,194.93,192,192.9,9290067
6/1/2012,190.12,191.72,188.6,189.08,5206323
6/4/2012,188.34,189.38,187,188.54,4625073
6/5/2012,187.92,189.85,187.56,189.2,3556762
6/6/2012,190.78,194,190.02,193.99,3645267
6/7/2012,195.28,195.8299,193.94,194.44,3701066
6/8/2012,193.71,195.14,192.7,195.14,2476647
6/11/2012,196.6,196.7,192.37,192.51,3273511
6/12/2012,192.14,194.67,192.14,194.55,3023630
6/13/2012,194.36,195.19,192.345,193.1,3247653
6/14/2012,193,195.83,192.74,195.1,3584945
6/15/2012,196.08,199.27,195.4,199.1,6390633
6/18/2012,197.57,199.64,197.17,198.29,3378912
6/19/2012,198.83,199.99,198.8,198.93,3297517
6/20/2012,198.7,199.74,197.5,198.78,3378824
6/21/2012,199.07,199.45,193.19,193.39,4316544
6/22/2012,193.87,194.88,193.22,193.7,8833353
6/25/2012,192.48,193.39,191.68,192.86,3211529
6/26/2012,193.54,193.68,190.75,191.95,3436150
6/27/2012,192.14,193.7,190.9,193,2762612
6/28/2012,191.23,192.08,188.9,191.4,3967265
6/29/2012,194.55,195.81,192.41,195.58,5262273
7/2/2012,196.36,197.2,194.85,195.83,2831680
7/3/2012,195.46,196.34,194.91,195.93,1451425
7/5/2012,194.88,196.85,193.63,195.29,2690781
7/6/2012,193.92,193.94,189.74,191.41,4952950
7/9/2012,190.76,190.9991,188.05,189.67,3988256
7/10/2012,190.3,191.14,185.6,186.26,4690312
7/11/2012,186.22,187.36,183.51,185.25,5456169
7/12/2012,184.25,184.39,181.85,183.09,4931203
7/13/2012,183.46,186.33,183.03,186.01,3933365
7/16/2012,185.58,186.1,184.58,184.79,3144328
7/17/2012,185.73,186.29,183.2,183.65,5159538
7/18/2012,184.15,188.59,183.55,188.25,8019423
7/19/2012,193.4,196.85,192.97,195.34,10396140
7/20/2012,194.09,194.9,192.17,192.45,4789672
7/23/2012,189.78,191.3,188.2,190.83,3905145
7/24/2012,190.92,191.32,188.56,190.34,3597193
7/25/2012,190.31,192.77,189.32,191.08,3833753
7/26/2012,193.49,194.95,192.57,193.95,3284332
7/27/2012,195.1,197.41,193.95,196.39,4177285
7/30/2012,196.32,197.84,195.92,196.68,2787953
7/31/2012,196.5,197.58,195.88,195.98,3507163
8/1/2012,196.96,197.85,194.72,195.18,2559365
8/2/2012,194.16,196.6,193.02,194.45,2812511
8/3/2012,196.48,198.95,196.16,198.52,3278231
8/6/2012,198.76,199.94,198.52,198.76,2337738
8/7/2012,199.43,200.88,198.8,199.93,3209644
8/8/2012,198.27,199.69,198.16,199.03,2068250
8/9/2012,198.62,199.46,197.89,198.42,2160095
8/10/2012,197.87,199.37,197.24,199.29,2600724
8/13/2012,198.88,199.98,197.79,199.01,2418289
8/14/2012,198.88,199.33,197.72,198.29,2562255
8/15/2012,198.9,199.33,197.92,198.4,2111828
8/16/2012,198.77,201.324,198.12,200.84,2729453
8/17/2012,201.08,202,200.66,201.22,2551732
8/20/2012,200.69,201.13,200.03,200.5,2335987
8/21/2012,200.99,201,198.37,198.65,3111357
8/22/2012,198.64,198.65,196.905,197.25,3296070
8/23/2012,197.04,197.37,195.44,195.7,2758497
8/24/2012,194.96,198.11,194.2,197.77,2639463
8/27/2012,197.96,198.3,195.61,195.69,2498722
8/28/2012,195.56,196.11,194.5,194.87,2539110
8/29/2012,195.13,196.0399,194.9,195.08,2141398
8/30/2012,194.77,195.47,193.18,193.37,2740995
8/31/2012,194.31,195.95,193.46,194.85,3193352
9/4/2012,196.61,197.17,193.25,194.54,4514860
9/5/2012,194.41,195.85,193.89,195.04,3312634
9/6/2012,196.26,199.46,196.11,199.1,3931624
9/7/2012,199.12,199.5,198.08,199.5,3414148
9/10/2012,199.39,201.82,198.73,200.95,4208243
9/11/2012,200.55,203.46,200.51,203.27,3910647
9/12/2012,203.52,204.65,202.96,203.77,3283950
9/13/2012,204.38,206.81,203.46,206.36,3880489
9/14/2012,206.24,207.65,206.05,206.81,4057758
9/17/2012,205.55,207.99,205.55,207.15,3276074
9/18/2012,206.88,207.8798,206.48,207.07,2476249
9/19/2012,207.55,207.57,206.01,206.43,2605577
9/20/2012,205.85,206.99,205.3,206.18,3740487
9/21/2012,207.36,207.94,205.921,205.98,12772720
9/24/2012,205.02,206.06,204.9,205.29,3511197
9/25/2012,205.6,207.32,204.95,204.98,3346760
9/26/2012,205.05,205.98,203.9,204,3423397
9/27/2012,204.37,206.9,204.14,205.91,2771977
9/28/2012,205.66,208.32,205.31,207.45,4910277
10/1/2012,208.01,211.75,207.94,210.47,5457453
10/2/2012,210.96,211.47,208.5,209.84,3320927
10/3/2012,209.94,211.305,209.3,210.51,3192215
10/4/2012,210.28,210.97,208.53,210.39,2957540
10/5/2012,211.15,211.79,210.06,210.59,2858352
10/8/2012,210.02,210.64,209.21,209.82,1982625
10/9/2012,209.95,210.74,207.7,207.99,3580564
10/10/2012,207.82,208.23,205.05,205.82,4025281
10/11/2012,206.57,207.27,205.63,205.76,2910149
10/12/2012,205.64,207.96,205.56,207.8,2711979
10/15/2012,208.88,209.4,207.82,208.93,3062956
10/16/2012,209.94,211,209.474,211,5632183
10/17/2012,201.21,203.41,198.55,200.63,12675630
10/18/2012,199.91,200.14,194.07,194.96,9296561
10/19/2012,195.29,196.08,193.18,193.36,6621563
10/22/2012,193.71,194.68,192.44,194.4,4404728
10/23/2012,193.53,194,190.94,191.25,4427470
10/24/2012,192.44,193.29,190.56,190.72,3738227
10/25/2012,191.41,192.44,190.71,191.6,3250670
10/26/2012,191.49,193.87,191.47,193.27,4006523
10/31/2012,194.8,196.41,193.63,194.53,6052235
11/1/2012,194.68,197.89,194.55,197.15,3758833
11/2/2012,197.53,198,193.29,193.43,4260781
11/5/2012,192.36,194.97,192.01,194.14,2736431
11/6/2012,195.26,196.75,194.68,195.07,3281085
11/7/2012,193.36,193.68,191.16,191.16,4746744
11/8/2012,191.4,191.81,190.09,190.1,3542464
11/9/2012,189.85,191.64,188.88,189.64,3671517
11/12/2012,190.03,190.77,187.407,189.25,3067509
11/13/2012,188.39,190.88,188.25,188.32,3407573
11/14/2012,189.14,189.27,185.28,185.51,4404535
11/15/2012,185.83,187.2,184.78,185.85,3412016
11/16/2012,186.33,187.56,185.1,186.94,4660780
11/19/2012,188.62,190.39,188.3,190.35,3588996
11/20/2012,189.88,190.11,188.25,189.2,3170318
11/21/2012,189.3,190.89,188.95,190.29,5189519
11/23/2012,191,193.49,190.8,193.49,3877583
11/26/2012,192.45,193.37,191.77,192.88,5211360
11/27/2012,192.08,193.05,191,191.23,3291094
11/28/2012,190.98,192.04,189.27,191.98,3603596
11/29/2012,192.75,192.9,190.2,191.53,4077834
11/30/2012,191.75,192,189.501,190.07,4936587
12/3/2012,190.76,191.3,188.36,189.48,3349685
12/4/2012,189.71,190.75,189.02,189.36,3990733
12/5/2012,189.01,189.46,186.94,188.65,4202974
12/6/2012,189.17,190.18,188.41,189.7,3216900
12/7/2012,190.14,192.2,190.11,191.95,4091940
12/10/2012,192.17,193.54,191.65,192.62,3438406
12/11/2012,193.18,194.8,193.15,194.2,4143997
12/12/2012,194.6,194.75,192.46,192.95,4241964
12/13/2012,192.18,193.05,191.37,191.99,3623185
12/14/2012,191.69,193.4,191.26,191.76,3826833
12/17/2012,191.76,193.91,191.76,193.62,3792450
12/18/2012,193.85,195.92,193.84,195.69,4125879
12/19/2012,195.46,196.45,195,195.08,4270591
12/20/2012,194.47,194.95,193.16,194.77,4184552
12/21/2012,193.1,194.5,191.57,193.42,8226623
12/24/2012,193.05,193.83,192.02,192.4,1631202
12/26/2012,192.21,193.53,190.95,191.95,2776550
12/27/2012,191.53,193.28,190.7,192.71,3967531
12/28/2012,191.11,192.22,189.83,189.83,3539396
12/31/2012,189.23,191.68,188.84,191.55,4685773
1/2/2013,194.09,196.35,193.8,196.35,4234226
1/3/2013,195.67,196.29,194.44,195.27,3645161
1/4/2013,194.19,194.46,192.78,193.99,3380159
1/7/2013,193.4,193.78,192.34,193.14,2862276
1/8/2013,192.92,193.3,191.605,192.87,3028071
1/9/2013,193.48,193.49,191.65,192.32,3212230
1/10/2013,192.65,192.96,191.28,192.88,3608049
1/11/2013,194.15,195,192.9,194.45,3880667
1/14/2013,192.82,193.28,191.75,192.62,4174712
1/15/2013,191.31,192.73,190.39,192.5,4172034
1/16/2013,192,193.18,191.35,192.59,2963020
1/17/2013,193.85,194.46,193.24,193.65,3893754
1/18/2013,194.03,195,193.8,194.47,4560073
1/22/2013,194.36,196.08,194.01,196.08,7172283
1/23/2013,203.5,208.58,203.36,204.72,12531800
1/24/2013,203.91,205.06,203.08,204.42,4447452
1/25/2013,204.45,205.18,204.13,204.97,3359187
1/28/2013,204.85,206.22,204.29,204.93,2823715
1/29/2013,204.34,205.7301,203.64,203.9,3617743
1/30/2013,203.69,204.88,203.186,203.52,2998524
1/31/2013,203.32,204.4699,202.96,203.07,3091506
2/1/2013,204.65,205.35,203.84,205.18,3371154
2/4/2013,204.19,205.02,203.57,203.79,3188819
2/5/2013,204.31,204.75,202.51,202.79,3636837
2/6/2013,200.39,201.29,199.56,201.02,3624203
2/7/2013,200.62,200.91,198.68,199.74,3076793
2/8/2013,199.97,202.09,199.68,201.68,2893254
2/11/2013,200.98,201.95,199.75,200.16,2944651
2/12/2013,200.01,200.735,199.02,200.04,2461779
2/13/2013,200.65,200.95,199.57,200.09,2169757
2/14/2013,199.73,200.32,199.26,199.65,3294126
2/15/2013,199.98,201.25,199.82,200.98,3627887
2/19/2013,200.6,201.89,200.22,200.32,2998317
2/20/2013,200.62,201.72,198.86,199.31,3715411
2/21/2013,198.63,199.07,198.11,198.33,3923051
2/22/2013,199.23,201.09,198.84,201.09,3107976
2/25/2013,201.67,202.49,197.51,197.51,3847976
2/26/2013,198.63,199.9,197.84,199.14,3391562
2/27/2013,198.89,202.75,198.6,202.33,4185545
2/28/2013,202.18,203.123,200.79,200.83,4689998
3/1/2013,200.65,202.94,199.36,202.91,3309434
3/4/2013,202.59,205.19,202.55,205.19,3693365
3/5/2013,205.86,207.7,205.69,206.53,3807706
3/6/2013,207.03,208.49,206.66,208.38,3594899
3/7/2013,208.29,209.6,208.24,209.42,3884317
3/8/2013,209.85,210.74,209.43,210.38,3700986
3/11/2013,210.04,210.1999,209.04,210.08,3049701
3/12/2013,209.4,210.73,209.09,210.55,3592096
3/13/2013,210.2,212.36,209.77,212.06,3357146
3/14/2013,212.15,215.86,212.15,215.8,5506969
3/15/2013,215.38,215.9,213.41,214.92,7937244
3/18/2013,212.9,214.5,212.64,213.21,3006125
3/19/2013,214.13,215.12,211.829,213.44,3198877
3/20/2013,214.76,215.82,214.3,215.06,3020648
3/21/2013,212.96,213,210.11,212.26,5830566
3/22/2013,212.21,213.17,211.619,212.08,3031457
3/25/2013,212.54,212.81,210.05,210.74,3242463
3/26/2013,211.77,212.504,211.5,212.36,2300240
3/27/2013,210.96,212.16,210.1,210.89,3223381
3/28/2013,209.83,213.44,209.735,213.3,3752999
4/1/2013,212.8,213.5,211.25,212.38,2144926
4/2/2013,212.92,214.71,211.57,214.36,3117150
4/3/2013,214.32,214.89,212.6275,212.66,3128818
4/4/2013,212.77,212.93,210.04,211.31,3709490
4/5/2013,209.1,209.84,206.34,209.41,4148177
4/8/2013,209.07,209.32,207.33,209.32,2351166
4/9/2013,209.56,210,208.61,209.22,2577249
4/10/2013,211.86,212.51,210.47,212,3524112
4/11/2013,211.5,213.09,210.85,212.92,3655566
4/12/2013,210.79,211.49,209.78,211.38,3165897
4/15/2013,210.44,211.69,209.26,209.26,4218575
4/16/2013,210.84,212,209.2,212,2860054
4/17/2013,210.53,211.09,209.5,209.67,3269874
4/18/2013,210.11,210.25,206.15,207.15,6501970
4/19/2013,195.74,196.5,189.76,190,18848881
4/22/2013,191.15,191.38,187.68,187.83,9847065
4/23/2013,189.27,192.555,188.61,191.61,6301279
4/24/2013,192.16,192.5,191.09,191.71,3694008
4/25/2013,192.69,195.17,192.32,193.95,4651956
4/26/2013,194.16,194.71,193.25,194.31,3490234
4/29/2013,194.78,199.68,194.65,199.15,5937395
4/30/2013,199.13,202.59,197.35,202.54,7540835
5/1/2013,201.87,202.17,199.2,199.63,4899267
5/2/2013,200.12,202.43,199.75,202.39,3946539
5/3/2013,203.94,205.319,203.75,204.51,4494744
